noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,1,0,1.6765124591561782,1.713170164860032,0.004071815681213902,0,50.799089168228214,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,3,0,1.4348684542898085,1.5091109108257987,0.006266964710465174,0,43.715935085720034,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,10,0,1.08162983614086,1.201376353222299,0.004037675769017365,0,34.71429853526279,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,30,0,0.7321110298524296,0.9354403193541253,0.003150535423960701,0,27.011628504300337,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,100,0.1111111111111111,0.0013341773860763861,0.6199704843406407,0.0033071909155457727,0,17.84618350604642,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,300,0.1111111111111111,0.0013279995784797887,0.6178822130289626,0.0032968029788886764,0,17.78614356155213,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,1000,0.1111111111111111,0.0013284694225621364,0.6177823134788346,0.0032962721812237906,0,17.78326790958037,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,1,3000,0.1111111111111111,0.0013285291838778693,0.6177739959366275,0.003296224726234387,0,17.783028751990074,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,1,0,1.6530658834390684,1.696674977314141,0.002647944685533315,0,67.35847883118403,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,3,0,1.3937239105337935,1.4783127708290638,0.004177399141241753,0,57.18860573452646,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,10,0,1.0043081565395378,1.1432389734020765,0.0027145746293220814,0,44.1093799081164,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,30,0,0.552588555127712,0.8098335531205866,0.001731080324251537,0,31.19029956312262,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,100,0.2222222222222222,0.0012696943409933718,0.47670115107335925,0.0015863457575550867,0,18.269379046041063,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,300,0.2222222222222222,0.0012249907133467495,0.4681742545248007,0.0015819629810581689,0,17.94228691999271,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,1000,0.2222222222222222,0.001223466936463516,0.4678940819102141,0.0015818811832992346,0,17.931538495208386,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,2,3000,0.2222222222222222,0.0012234674479304072,0.46789417272295214,0.0015818811317452346,0,17.93154196876329,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,2.6,-0.8,0.2,0,3,1,0,1.668437501898326,1.7220088513769543,0.003334800283879192,0,118.94161104013241,NaN,NaN
