pattern,flips,rep,outcome,hamming_to_source,nearest,nearest_hamming,converged_by,on_cells_final
rand1,0,0,spurious,2,rand1,2,50,4
rand1,0,1,spurious,2,rand1,2,50,4
rand1,0,2,spurious,2,rand1,2,50,4
rand1,0,3,spurious,2,rand1,2,50,4
rand1,0,4,spurious,2,rand1,2,50,4
rand1,0,5,spurious,2,rand1,2,50,4
rand1,1,0,spurious,2,rand1,2,50,4
rand1,1,1,spurious,2,rand1,2,50,4
rand1,1,2,spurious,3,rand1,3,2970,5
rand1,1,3,spurious,2,rand1,2,50,4
rand1,1,4,spurious,2,rand1,2,50,4
rand1,1,5,spurious,3,rand1,3,2970,5
rand1,2,0,spurious,4,rand1,4,40,4
rand1,2,1,spurious,4,rand1,4,50,2
rand1,2,2,spurious,2,rand1,2,50,4
rand1,2,3,spurious,3,rand1,3,40,5
rand1,2,4,spurious,2,rand1,2,50,4
rand1,2,5,spurious,3,rand1,3,50,3
rand1,3,0,spurious,3,rand1,3,40,5
rand1,3,1,spurious,2,rand1,2,50,4
rand1,3,2,spurious,2,rand1,2,50,4
rand1,3,3,spurious,3,rand1,3,50,3
rand1,3,4,spurious,2,rand1,2,50,4
rand1,3,5,spurious,2,rand1,2,50,4
rand1,4,0,spurious,3,rand1,3,50,3
rand1,4,1,spurious,2,rand1,2,50,4
rand1,4,2,spurious,3,rand1,3,50,3
rand1,4,3,spurious,5,rand1,5,30,3
rand1,4,4,spurious,2,rand1,2,2860,6
rand1,4,5,spurious,3,rand1,3,50,3
rand1,6,0,spurious,4,rand1,4,50,4
rand1,6,1,spurious,2,rand1,2,50,4
rand1,6,2,spurious,4,rand1,4,50,4
rand1,6,3,spurious,5,rand3,4,2960,5
rand1,6,4,spurious,3,rand1,3,50,3
rand1,6,5,spurious,6,rand1,6,30,2
rand1,8,0,spurious,4,rand1,4,2890,4
rand1,8,1,spurious,4,rand1,4,2920,6
rand1,8,2,spurious,4,rand1,4,50,4
rand1,8,3,spurious,3,rand1,3,50,5
rand1,8,4,spurious,6,rand1,6,2980,2
rand1,8,5,spurious,5,rand1,5,50,3
rand2,0,0,spurious,5,rand1,4,50,4
rand2,0,1,spurious,5,rand1,4,50,4
rand2,0,2,spurious,5,rand1,4,50,4
rand2,0,3,spurious,5,rand1,4,50,4
rand2,0,4,spurious,5,rand1,4,50,4
rand2,0,5,spurious,5,rand1,4,50,4
rand2,1,0,spurious,5,rand1,4,50,4
rand2,1,1,spurious,5,rand1,4,50,4
rand2,1,2,spurious,5,rand1,4,50,4
rand2,1,3,spurious,5,rand1,4,50,4
rand2,1,4,spurious,5,rand1,4,50,4
rand2,1,5,spurious,5,rand1,4,50,4
rand2,2,0,spurious,5,rand1,4,50,4
rand2,2,1,spurious,5,rand1,4,50,4
rand2,2,2,spurious,7,rand1,4,50,4
rand2,2,3,spurious,5,rand1,4,50,4
rand2,2,4,spurious,5,rand2,5,50,2
rand2,2,5,spurious,5,rand1,4,50,4
rand2,3,0,spurious,6,rand2,6,20,1
rand2,3,1,spurious,5,rand1,4,50,4
rand2,3,2,spurious,6,rand1,3,50,5
rand2,3,3,spurious,6,rand1,5,2950,5
rand2,3,4,spurious,7,rand1,4,50,2
rand2,3,5,spurious,7,rand1,4,50,4
rand2,4,0,spurious,6,rand1,3,50,3
rand2,4,1,spurious,5,rand1,4,50,4
rand2,4,2,spurious,6,rand3,4,2990,3
rand2,4,3,spurious,6,rand1,3,2930,7
rand2,4,4,spurious,7,rand1,2,50,4
rand2,4,5,spurious,6,rand1,5,50,3
rand2,6,0,spurious,6,rand1,3,50,3
rand2,6,1,spurious,7,rand1,4,40,4
rand2,6,2,spurious,7,rand3,5,20,2
rand2,6,3,spurious,7,rand1,4,50,2
rand2,6,4,spurious,6,rand3,4,2860,5
rand2,6,5,spurious,6,rand3,4,2910,3
rand2,8,0,spurious,6,rand1,3,50,5
rand2,8,1,spurious,7,rand3,5,2970,4
rand2,8,2,spurious,6,rand1,5,50,3
rand2,8,3,spurious,8,rand1,5,2940,3
rand2,8,4,spurious,6,rand3,4,2960,7
rand2,8,5,spurious,7,rand3,5,10,4
rand3,0,0,recovered,1,rand3,1,2970,6
rand3,0,1,recovered,1,rand3,1,2970,6
rand3,0,2,recovered,1,rand3,1,2970,6
rand3,0,3,recovered,1,rand3,1,2970,6
rand3,0,4,recovered,1,rand3,1,2970,6
rand3,0,5,recovered,1,rand3,1,2970,6
rand3,1,0,spurious,2,rand3,2,3000,7
rand3,1,1,recovered,1,rand3,1,2970,6
rand3,1,2,spurious,2,rand3,2,2780,5
rand3,1,3,spurious,4,rand3,4,3000,5
rand3,1,4,recovered,1,rand3,1,2970,6
rand3,1,5,recovered,1,rand3,1,2970,6
rand3,2,0,spurious,3,rand3,3,3000,6
rand3,2,1,spurious,3,rand3,3,3000,4
rand3,2,2,recovered,1,rand3,1,2960,6
rand3,2,3,recovered,1,rand3,1,2970,6
rand3,2,4,spurious,4,rand3,4,3000,5
rand3,2,5,spurious,4,rand3,4,2880,5
rand3,3,0,spurious,2,rand3,2,3000,7
rand3,3,1,spurious,5,rand1,4,40,4
rand3,3,2,recovered,1,rand3,1,2970,6
rand3,3,3,spurious,5,rand1,4,2960,6
rand3,3,4,recovered,1,rand3,1,2960,6
rand3,3,5,recovered,1,rand3,1,2960,6
rand3,4,0,spurious,2,rand3,2,3000,7
rand3,4,1,spurious,5,rand1,4,2940,6
rand3,4,2,spurious,3,rand3,3,2990,6
rand3,4,3,spurious,4,rand3,4,2960,7
rand3,4,4,spurious,4,rand1,3,2900,7
rand3,4,5,recovered,1,rand3,1,2970,6
rand3,6,0,spurious,6,rand1,5,50,3
rand3,6,1,spurious,4,rand3,4,2990,3
rand3,6,2,spurious,5,rand1,4,50,4
rand3,6,3,spurious,6,rand1,5,40,3
rand3,6,4,spurious,3,rand3,3,2850,4
rand3,6,5,spurious,5,rand1,4,50,4
rand3,8,0,spurious,6,rand3,6,2850,1
rand3,8,1,spurious,5,rand3,5,2990,4
rand3,8,2,spurious,2,rand3,2,2950,5
rand3,8,3,spurious,4,rand3,4,2790,3
rand3,8,4,spurious,7,rand1,4,50,4
rand3,8,5,spurious,7,rand1,2,50,4
