pattern,flips,rep,outcome,hamming_to_source,nearest,nearest_hamming,converged_by,on_cells_final
circle,0,0,spurious,20,cross,16,0,0
circle,0,1,spurious,20,cross,16,0,0
circle,0,2,spurious,20,cross,16,0,0
circle,0,3,spurious,20,cross,16,0,0
circle,0,4,spurious,20,cross,16,0,0
circle,0,5,spurious,20,cross,16,0,0
circle,2,0,spurious,20,cross,16,0,0
circle,2,1,spurious,20,cross,16,50,0
circle,2,2,spurious,21,cross,17,10,1
circle,2,3,spurious,20,cross,16,0,0
circle,2,4,spurious,20,cross,16,0,0
circle,2,5,spurious,21,cross,17,10,1
circle,4,0,spurious,20,cross,16,0,0
circle,4,1,spurious,20,cross,16,0,0
circle,4,2,spurious,20,cross,16,0,0
circle,4,3,spurious,20,cross,16,40,0
circle,4,4,spurious,20,cross,16,0,0
circle,4,5,spurious,20,cross,16,0,0
circle,6,0,spurious,20,cross,16,0,0
circle,6,1,spurious,20,cross,16,0,0
circle,6,2,spurious,20,cross,16,0,0
circle,6,3,spurious,20,cross,16,0,0
circle,6,4,spurious,21,cross,17,10,1
circle,6,5,spurious,21,cross,15,10,1
circle,8,0,spurious,20,cross,16,40,0
circle,8,1,spurious,21,cross,15,20,1
circle,8,2,spurious,20,cross,16,40,0
circle,8,3,spurious,21,cross,17,10,1
circle,8,4,spurious,22,cross,16,10,2
circle,8,5,spurious,21,cross,15,10,1
circle,12,0,spurious,21,cross,15,10,1
circle,12,1,spurious,22,cross,18,20,2
circle,12,2,spurious,20,cross,16,0,0
circle,12,3,spurious,21,cross,15,20,1
circle,12,4,spurious,21,cross,17,10,1
circle,12,5,spurious,21,cross,15,20,1
circle,16,0,spurious,21,cross,17,70,1
circle,16,1,spurious,20,cross,16,0,0
circle,16,2,spurious,23,cross,17,10,3
circle,16,3,spurious,22,cross,18,200,2
circle,16,4,spurious,22,cross,14,20,2
circle,16,5,spurious,22,cross,18,40,2
circle,24,0,spurious,21,cross,15,20,1
circle,24,1,spurious,21,cross,15,60,1
circle,24,2,spurious,23,cross,17,20,3
circle,24,3,spurious,22,cross,18,70,2
circle,24,4,spurious,23,cross,17,30,3
circle,24,5,spurious,21,cross,17,60,1
circle,32,0,spurious,22,cross,18,30,2
circle,32,1,spurious,22,cross,18,50,2
circle,32,2,spurious,20,cross,16,40,0
circle,32,3,spurious,24,cross,16,60,4
circle,32,4,spurious,24,cross,20,290,4
circle,32,5,spurious,23,cross,17,190,3
cross,0,0,spurious,14,cross,14,10,2
cross,0,1,spurious,14,cross,14,10,2
cross,0,2,spurious,14,cross,14,10,2
cross,0,3,spurious,14,cross,14,10,2
cross,0,4,spurious,14,cross,14,10,2
cross,0,5,spurious,14,cross,14,10,2
cross,2,0,spurious,15,cross,15,10,1
cross,2,1,spurious,14,cross,14,10,2
cross,2,2,spurious,15,cross,15,10,3
cross,2,3,spurious,14,cross,14,10,2
cross,2,4,spurious,14,cross,14,10,2
cross,2,5,spurious,14,cross,14,10,2
cross,4,0,spurious,14,cross,14,10,2
cross,4,1,spurious,15,cross,15,10,1
cross,4,2,spurious,15,cross,15,10,3
cross,4,3,spurious,14,cross,14,10,2
cross,4,4,spurious,15,cross,15,10,3
cross,4,5,spurious,14,cross,14,10,2
cross,6,0,spurious,14,cross,14,10,2
cross,6,1,spurious,14,cross,14,60,2
cross,6,2,spurious,15,cross,15,50,1
cross,6,3,spurious,15,cross,15,50,1
cross,6,4,spurious,15,cross,15,10,3
cross,6,5,spurious,14,cross,14,10,2
cross,8,0,spurious,14,cross,14,60,2
cross,8,1,spurious,14,cross,14,10,2
cross,8,2,spurious,15,cross,15,10,3
cross,8,3,spurious,16,cross,16,10,2
cross,8,4,spurious,17,cross,17,20,3
cross,8,5,spurious,14,cross,14,10,2
cross,12,0,spurious,14,cross,14,20,2
cross,12,1,spurious,14,cross,14,50,2
cross,12,2,spurious,14,cross,14,50,2
