pattern,flips,rep,outcome,hamming_to_source,nearest,nearest_hamming,converged_by,on_cells_final
rand1,0,0,spurious,3,rand1,3,40,3
rand1,0,1,spurious,3,rand1,3,40,3
rand1,0,2,spurious,3,rand1,3,40,3
rand1,0,3,spurious,3,rand1,3,40,3
rand1,0,4,spurious,3,rand1,3,40,3
rand1,0,5,spurious,3,rand1,3,40,3
rand1,1,0,spurious,3,rand1,3,40,3
rand1,1,1,spurious,3,rand1,3,40,3
rand1,1,2,spurious,3,rand1,3,40,3
rand1,1,3,spurious,3,rand1,3,40,3
rand1,1,4,spurious,3,rand1,3,40,3
rand1,1,5,spurious,3,rand1,3,40,3
rand1,2,0,spurious,4,rand3,3,10,4
rand1,2,1,spurious,4,rand1,4,50,2
rand1,2,2,spurious,3,rand1,3,40,3
rand1,2,3,spurious,4,rand3,3,50,4
rand1,2,4,spurious,3,rand1,3,40,3
rand1,2,5,spurious,3,rand1,3,10,3
rand1,3,0,spurious,4,rand3,3,50,4
rand1,3,1,spurious,3,rand1,3,40,3
rand1,3,2,spurious,3,rand1,3,40,3
rand1,3,3,spurious,3,rand1,3,10,3
rand1,3,4,spurious,3,rand1,3,40,3
rand1,3,5,spurious,3,rand1,3,40,3
rand1,4,0,spurious,3,rand1,3,20,3
rand1,4,1,spurious,3,rand1,3,170,3
rand1,4,2,spurious,3,rand1,3,10,3
rand1,4,3,spurious,5,rand3,4,70,3
rand1,4,4,spurious,3,rand1,3,40,3
rand1,4,5,spurious,3,rand1,3,10,3
rand1,6,0,spurious,4,rand3,3,10,4
rand1,6,1,spurious,3,rand1,3,40,3
rand1,6,2,spurious,5,rand2,4,270,3
rand1,6,3,spurious,5,rand3,4,150,3
rand1,6,4,spurious,3,rand1,3,30,3
rand1,6,5,spurious,6,rand3,5,230,2
rand1,8,0,spurious,5,rand1,5,10,1
rand1,8,1,spurious,5,rand2,4,280,3
rand1,8,2,spurious,4,rand3,3,10,4
rand1,8,3,spurious,4,rand3,3,50,4
rand1,8,4,spurious,4,rand1,4,10,2
rand1,8,5,spurious,6,rand2,5,10,2
rand2,0,0,spurious,4,rand2,4,270,3
rand2,0,1,spurious,4,rand2,4,270,3
rand2,0,2,spurious,4,rand2,4,270,3
rand2,0,3,spurious,4,rand2,4,270,3
rand2,0,4,spurious,4,rand2,4,270,3
rand2,0,5,spurious,4,rand2,4,270,3
rand2,1,0,spurious,4,rand2,4,270,3
rand2,1,1,spurious,4,rand2,4,430,3
rand2,1,2,spurious,4,rand2,4,280,3
rand2,1,3,spurious,4,rand2,4,270,3
rand2,1,4,spurious,4,rand2,4,430,3
rand2,1,5,spurious,4,rand2,4,270,3
rand2,2,0,spurious,4,rand2,4,280,3
rand2,2,1,spurious,4,rand2,4,270,3
rand2,2,2,spurious,6,rand3,4,230,3
rand2,2,3,spurious,4,rand2,4,280,3
rand2,2,4,spurious,4,rand2,4,10,3
rand2,2,5,spurious,4,rand2,4,280,3
rand2,3,0,spurious,5,rand2,5,10,2
rand2,3,1,spurious,4,rand2,4,430,3
rand2,3,2,spurious,5,rand3,3,60,4
rand2,3,3,spurious,5,rand3,3,210,4
rand2,3,4,spurious,5,rand1,4,10,2
rand2,3,5,spurious,6,rand3,4,230,3
rand2,4,0,spurious,4,rand1,3,10,3
rand2,4,1,spurious,4,rand2,4,430,3
rand2,4,2,spurious,5,rand3,3,10,4
rand2,4,3,spurious,5,rand3,3,60,4
rand2,4,4,spurious,6,rand1,3,170,3
rand2,4,5,spurious,4,rand2,4,10,3
rand2,6,0,spurious,4,rand1,3,30,3
rand2,6,1,spurious,6,rand3,4,10,3
rand2,6,2,spurious,6,rand3,4,10,3
rand2,6,3,spurious,5,rand1,4,10,2
rand2,6,4,spurious,6,rand3,4,200,3
rand2,6,5,spurious,6,rand2,6,10,1
rand2,8,0,spurious,5,rand3,3,60,4
rand2,8,1,spurious,7,rand1,6,10,2
rand2,8,2,spurious,4,rand2,4,10,3
rand2,8,3,spurious,5,rand1,4,10,2
rand2,8,4,spurious,5,rand2,5,10,4
rand2,8,5,spurious,8,rand3,4,220,3
rand3,0,0,spurious,2,rand3,2,10,5
rand3,0,1,spurious,2,rand3,2,10,5
rand3,0,2,spurious,2,rand3,2,10,5
rand3,0,3,spurious,2,rand3,2,10,5
rand3,0,4,spurious,2,rand3,2,10,5
rand3,0,5,spurious,2,rand3,2,10,5
rand3,1,0,spurious,2,rand3,2,60,5
rand3,1,1,spurious,2,rand3,2,10,5
rand3,1,2,spurious,3,rand3,3,10,4
