arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,1,0,1.407764241018503,1.5179502006582468,0.003282024350566472,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,3,0,0.9486190381437358,1.122117345450804,0.004928717009480893,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,10,0,0.47201280741110274,0.6506869569037413,0.005410758849329065,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,30,0,0.31804104565039454,0.4932327667340401,0.0029468382529356458,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,100,0,0.3030400941930574,0.47274731333433906,0.0034586625330878477,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,300,0,0.3195998707575194,0.5096935549355117,0.003773533878647183,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,1000,0,0.29510069964111263,0.4926407904572161,0.003671056293997606,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,1,3000,0,0.3052791724812021,0.49986012430529797,0.0027390738339891623,-0.0008965188738557522,0.0007582305440748445
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,1,0,1.4128699984949387,1.5205237292258902,0.0020939749695032006,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,3,0,0.9618835076988991,1.1283723772092586,0.00326339550714642,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,10,0,0.48338705116621916,0.6603222809987456,0.0036476318721175927,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,30,0,0.3230158256356716,0.5037454591334865,0.002070108808729402,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,100,0,0.30173082559794967,0.48873025885794263,0.002190510122162286,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,300,0,0.3061701682860679,0.5100482525815884,0.0019881204219920207,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,1000,0,0.2977006510119018,0.49730457851276466,0.002508709256788829,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,2,3000,0,0.29841881688548993,0.5128254011161882,0.0019426058822244613,0.00003919755085840374,0.0006499614579570241
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,1,0,1.407344069062797,1.5425474005068252,0.003038622566716275,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,3,0,0.9478308875232203,1.1606051253394918,0.0032401589642991942,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,10,0,0.4715131160928837,0.6938897894147484,0.003150096976762728,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,30,0,0.3176497648342812,0.5392065957840029,0.0022597204589952596,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,100,0,0.30611073330721694,0.5215336750215228,0.0031751458021778826,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,300,0,0.3246464264911915,0.5516454922086164,0.00296044549923405,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,1000,0,0.3019390187605,0.5347552067415222,0.002401727482178443,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.6,0.05,3,3000,0,0.29839884825633206,0.5529910154347151,0.001905719967202309,0.0007726468025710486,0.0005950536365031092
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,1,0,1.2786620590099695,1.3787431677082638,0.002981038935027923,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,3,0,0.6644321574932638,0.8018006066489396,0.0016501321952160084,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,10,0.5625,0.02775039749789775,0.07427900541537422,0.00017842300582715642,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,30,0.5625,3.946520659725223e-19,1.2584689277602733e-17,4.199684160445695e-19,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,100,0.5625,2.8543485097000017e-80,4.848959152288635e-78,5.657161034554267e-79,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,300,0.5625,7.67063669989994e-254,1.3743458604200115e-250,4.909594133637967e-251,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,1000,0.5625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,1,3000,0.5625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,1,0,1.2832995815278756,1.3810806850576487,0.001901942291191574,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,3,0,0.6745113844455219,0.8066209355347427,0.0012482625264758575,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,10,0.5,0.028652530473300623,0.07284978276938386,0.00013219752563127285,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,30,0.5,3.917869305795749e-19,1.0749900603526614e-17,2.213138955293995e-19,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,100,0.5,2.466910726679348e-80,4.1635753181721905e-78,2.587002810838785e-79,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,300,0.5,2.4452963478508724e-254,1.2045262152405623e-250,1.808786616533655e-251,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,1000,0.5,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,2,3000,0.5,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,1,0,1.278280419867302,1.4010846260915994,0.0027599588585234696,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,3,0,0.6638573697132264,0.8323662919269207,0.0008783703571843323,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,10,0.625,0.02790572784813108,0.0846081439247763,0.00014782059330992414,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,30,0.625,4.821103139363508e-19,1.5561279758566634e-17,3.569607847971857e-19,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,100,0.625,4.3610603973707956e-80,6.243602686103581e-78,5.0492456589945156e-79,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,300,0.625,4.883293821988301e-254,1.9582734804998795e-250,4.4594249436425335e-251,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,1000,0.625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.2,-0.9,0.3,3,3000,0.625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,1,0,1.5484147475381365,1.6696094475501093,0.00360993322469937,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,3,0,1.2143433146532359,1.4327009043560037,0.007074236147799401,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,10,0,0.8346134342874046,1.1108133497462969,0.024061567294858238,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,30,0.0625,0.7695700851811308,1.0756866593126793,0.3106776690895383,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,100,0.125,0.7827289216192443,1.1276742170554057,1.5757983367634742,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,300,0.3125,0.8270445680982452,1.1465036512380962,1.6029227020961576,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,1000,0.3125,0.8032681409636202,1.1482541260224373,1.5414999784087033,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,1,3000,0.3125,0.8256093877522444,1.15355861223415,1.4953587527979515,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,1,0,1.554030624077341,1.6724400987850545,0.0023031851706992335,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,3,0,1.2305563300474887,1.4402048179823905,0.004572649110095207,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,10,0,0.8537705900404886,1.1264905505603988,0.013597408607453794,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,30,0,0.7921228476981071,1.089496656165789,0.14388699569801805,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,100,0.125,0.7967181404076006,1.138785612147682,1.502521330984106,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,300,0.375,0.7950643964924128,1.13924251747448,1.6058429440844153,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,1000,0.375,0.8038618034758611,1.1567189502282558,1.576288656707736,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,2,3000,0.375,0.7935021166220027,1.156068083071358,1.5653966377605628,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,1,0,1.5479525959691731,1.696664167285089,0.0033422130335556796,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,3,0,1.2133769989941667,1.4809389322931508,0.004774126439608046,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,10,0,0.833658080146987,1.1768695082187672,0.011196560256089942,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,30,0,0.767047993126765,1.1416002602197362,0.05598339940569904,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,100,0.0625,0.7816986814384146,1.202707968449332,1.5781230902033399,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,300,0.1875,0.8282117031106453,1.2147646314829186,1.581026854236114,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,1000,0.1875,0.8137105459462391,1.2113166650659994,1.5012406470638655,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.6,0.05,3,3000,0.1875,0.8011934805679242,1.1944573943483472,1.519073339816794,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,1,0,1.413231050935172,1.5238448987676145,0.003294769526742732,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,3,0,0.9011174196561645,1.0837456964538768,0.0023699737746885603,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,10,0.125,0.23264318363968325,0.4048395766420578,0.0008749327788716667,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,30,0.5625,1.6124700171233334e-11,8.559713922781493e-8,4.936179538372502e-10,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,100,0.5625,4.229907503332298e-67,4.5827162817787806e-63,1.2168276718863592e-64,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,300,0.5625,1.8705693753617967e-225,5.545818328581605e-221,8.522382061374669e-222,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,1000,0.5625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,1,3000,0.5625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,1,0,1.4183566357412056,1.5264284211901122,0.0021021065605714966,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,3,0,0.913719011940933,1.0896703306157034,0.0017332505980055994,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,10,0.125,0.23920532952904683,0.40982391824783243,0.0006196140717477123,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,30,0.5,1.2178083986201245e-11,5.46145643669938e-8,3.410199720352411e-10,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,100,0.5,2.0544527239641486e-67,2.995307085009035e-63,2.474256003650879e-65,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,300,0.5,1.6642910861384867e-225,3.8779084073171784e-221,1.5664029622109826e-222,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,1000,0.5,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,2,3000,0.5,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,1,0,1.4128092473140574,1.5485376176044836,0.003050422533995393,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,3,0,0.9003952648350041,1.124175137510003,0.0013382896145107271,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,10,0.0625,0.23263814795101057,0.4469652867736543,0.0006606966577018089,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,30,0.625,2.1294764695424584e-9,5.301314667485693e-7,3.3177257681028735e-9,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,100,0.625,6.506396925040979e-65,2.3377981539260963e-62,2.524713321790533e-64,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,300,0.625,1.681293712997129e-223,3.0696852699182155e-220,1.2274803119497675e-221,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,1000,0.625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,2.6,-0.9,0.3,3,3000,0.625,0,0,0,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,1,0,1.6890652540577706,1.8212686944419734,0.0039378420988322805,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,3,0,1.49619069164281,1.7607893820967366,0.009700413476283448,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,10,0,1.2415214263740113,1.6138337690513456,0.09504692115878399,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,30,0.1875,1.229739001288995,1.6628386047270176,1.3219461168414672,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,100,0.375,1.25386508693926,1.7310946350074214,2.3236927529166014,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,300,0.375,1.3135578453620633,1.7538155622055136,2.3502904606249304,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,1000,0.4375,1.280947796454897,1.739494891003606,2.327750661629812,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,1,3000,0.4375,1.2882933193787158,1.744439164593643,2.2693877888929457,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,1,0,1.695191249659743,1.8243564683442188,0.0025123953718952695,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,3,0,1.515457287747291,1.7695611622911156,0.006147066148675228,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,10,0,1.2701845215816623,1.6351555721554227,0.0483219353778694,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,30,0.25,1.278796999371773,1.6944609155311106,1.18675380092321,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,100,0.4375,1.2857553922011673,1.7575137454746514,2.2760417275053872,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,300,0.5,1.2850988623865378,1.7557989634522269,2.3236299767425797,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,1000,0.5,1.2811377695100843,1.7505247244011817,2.2845941071871945,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.6,0.05,2,3000,0.5,1.2981005886552566,1.7351795114582218,2.1925929034970633,NaN,NaN
