arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,1,0,1.609491383916339,1.73546656321228,0.003752325680767827,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,3,0,1.3057811748301882,1.552294212617201,0.004989360859170299,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,10,0,0.8801604493179249,1.21673790471127,0.004119230736716044,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,30,0,0.7480657691504901,1.1175173219242533,0.0032906471767974203,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,100,0,0.746858577414422,1.1159101155193745,0.003848809967555923,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,300,0,0.7842693650714776,1.2026311735983775,0.005044968078495092,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,1000,0,0.7609948018747413,1.1755356175773484,0.005162623066601037,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,3000,0,0.7520846159739878,1.1870364548521377,0.0031243478154368304,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,10000,0,0.7580196374662483,1.1469434077575973,0.00392025689604753,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,1,30000,0,0.7528789060159775,1.157705600946365,0.003296847308807792,-0.0017491238371492117,0.0011235512441712895
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,1,0,1.615328776589947,1.7384088684187884,0.0023940334420723425,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,3,0,1.3225739277617354,1.560036276567163,0.0033886476424419246,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,10,0,0.8983925673495394,1.2366810641220247,0.0030261153133428415,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,30,0,0.7567278804680985,1.1445147377805565,0.0023841330297605205,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,100,0,0.7478462790207338,1.1523604734456983,0.002770667921187787,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,300,0,0.7638490325429332,1.1981504036510444,0.0028072858403620842,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,1000,0,0.749788719237563,1.1864101057652463,0.00343653564805166,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,3000,0,0.7649506440414963,1.2116863773661972,0.0025478396670058807,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,10000,0,0.7609243157945076,1.1991575123947036,0.002355942818634185,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,2,30000,0,0.753770563146162,1.1879677467806853,0.002740052044363004,0.0005918347122273771,0.0005437061791105339
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,1,0,1.6090110029528455,1.7635884461748088,0.0034740453675434053,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,3,0,1.30479800719952,1.6066076811009053,0.003207439587407965,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,10,0,0.8794472296813695,1.3004768370129818,0.0027721183154664924,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,30,0,0.748046648945422,1.2178816953388327,0.002653006867789706,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,100,0,0.7533799293476947,1.215494302811909,0.0035539784139309912,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,300,0,0.7971500968354074,1.3032965823018732,0.004240812570179311,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,1000,0,0.7716719771325967,1.2681678738381577,0.002995464814922373,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,3000,0,0.7753572652001592,1.2497311951082808,0.00439579098972806,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,10000,0,0.7738197588668513,1.274781636875811,0.003049968398002271,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3,-0.8,0.2,3,30000,0,0.7510232737561888,1.2779571424923344,0.0038414365969610875,0.0014951860363571928,0.0020251417375145614
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,1,0,1.781132886120965,1.9205424765799155,0.004152486143286631,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,3,0,1.6654062039759012,1.9718737640882509,0.006986833011228206,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,10,0,1.4309806444092823,1.8937970126724726,0.009846807658421643,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,30,0,1.4116766730945658,1.9363982827239792,0.008408552782660396,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,100,0,1.4238175105522919,2.022210950944069,0.011253471874611632,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,300,0.0625,1.5207184226717574,2.1031314114289756,1.594827111743587,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,1000,0.125,1.4432266823814393,2.0731750789200483,2.819238046549756,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,3000,0.125,1.4854565915364737,2.053968175200257,2.6984643629983287,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,10000,0.125,1.5050510579148435,2.090248342978343,2.8067786852004044,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,1,30000,0.125,1.4867291962010998,2.067221593298281,2.7745157360996977,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,1,0,1.7875927977204087,1.923798558977551,0.002649341112825774,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,3,0,1.6857511178516524,1.981110761028218,0.00462091104312658,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,10,0,1.4582424759537913,1.9219234678789596,0.00687218346701974,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,30,0,1.439785553366519,1.9635265644417892,0.006200941532328711,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,100,0,1.443125876493688,2.041217589829903,0.008123946356643305,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,300,0,1.470632705309126,2.048660186373589,0.007942535990232568,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,1000,0.0625,1.4580514009021277,2.0866369353194,2.748838822351633,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,3000,0.0625,1.4540884471544102,2.0408510540918208,2.71212793944922,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,10000,0.1875,1.4693475883156502,2.1071638611463666,2.7488741511113703,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,2,30000,0.25,1.4465112922045666,2.091396113902102,2.8044164846694293,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,1,0,1.780601275737403,1.951663370462755,0.003844529093999418,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,3,0,1.6642040616841376,2.039164665185038,0.004630826233640203,NaN,NaN
B_4f,64,0,0,3,2,317.5,16,9.92,3.5,-0.8,0.2,3,10,0,1.429932216522877,2.0078713134985327,0.005772926218771257,NaN,NaN
