arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,1,0.12396694214876033,0.04156148333122362,0.5483248346628067,0.06438448837403013,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,3,0.4214876033057851,0.00009989280714578571,0.12362179318131877,0.030898586458997183,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,10,0.512396694214876,3.087723580618001e-8,0.000294209167712538,0.00020852624876460804,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,30,0.512396694214876,3.074659818132853e-22,6.492565497240509e-18,8.867862969299509e-17,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,100,0.512396694214876,7.741512077313381e-69,1.960838842229845e-64,2.9621864037783863e-62,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,300,0.512396694214876,1.993992778572024e-198,1.5276727600042562e-194,4.8468902040924284e-192,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,1000,0.512396694214876,0,0,0,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,1,3000,0.512396694214876,0,0,0,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,2,1,0.10743801652892562,0.042127463044412804,0.5943457701981872,0.09789521317525701,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,2,3,0.36363636363636365,0.00007783019030161703,0.14172548841354418,0.05905497851714498,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,2,10,0.47107438016528924,2.120964433723185e-8,0.0005613215822881251,0.000200293513250231,NaN,NaN
B_4f,64,0,0,1,1,127,121,62,1.8,-0.8,0.2,2,30,0.47107438016528924,5.015890673113941e-22,4.290212188657058e-17,1.74856821174888e-16,NaN,NaN
