focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
-0.003,0,0,0,1000,0,3,1,10,0,1.4754383288765784,1.6009974676094132,0.0052361334778978814,-1
-0.003,0,0,0,1000,0,3,1,30,0,1.420934267641281,1.5638109809277072,0.005099680977879866,-1
-0.003,0,0,0,1000,0,3,1,100,0,1.4241416766109083,1.5657485203097894,0.005000455529300636,-1
-0.003,0,0,0,1000,0,3,1,300,0,1.4197296854035262,1.561036195145876,0.005631596633955895,-1
-0.003,0,0,0,1000,0,3,1,1000,0,1.4090154907939296,1.5441774565532842,0.005022399773228012,-1
-0.003,0,0,0,1000,0,3,1,3000,0,1.383029409636009,1.5181992664677033,0.004746610310126297,-1
-0.003,0,0,0,1000,0,3,1,10000,0,1.4057541480061126,1.553870493629411,0.005851386182625139,-1
-0.003,0,0,0,1000,0,3,2,10,0,1.3955094156745724,1.5411784451315684,0.003668449415459074,-1
-0.003,0,0,0,1000,0,3,2,30,0,1.3175949262502398,1.4923337801086751,0.003669713611958013,-1
-0.003,0,0,0,1000,0,3,2,100,0,1.2951842245390015,1.4920584276067732,0.004299891950058381,-1
-0.003,0,0,0,1000,0,3,2,300,0,1.2607013238734437,1.4551213668776013,0.00372490854976728,-1
-0.003,0,0,0,1000,0,3,2,1000,0,1.261090899036508,1.4608268901707884,0.004612073155519285,-1
-0.003,0,0,0,1000,0,3,2,3000,0,1.2587974765266496,1.4416467732121216,0.004290119350878547,-1
-0.003,0,0,0,1000,0,3,2,10000,0,1.267072875447467,1.4548666182045902,0.004151283491643959,-1
-0.003,0,0,0,1000,0,3,3,10,0,1.4362465590523708,1.6198529189067397,0.0031668193720505032,-1
-0.003,0,0,0,1000,0,3,3,30,0,1.3791707461391476,1.5898465634810768,0.0030141240117867326,-1
-0.003,0,0,0,1000,0,3,3,100,0,1.3659726942510728,1.5937799218551945,0.0037431230419096764,-1
-0.003,0,0,0,1000,0,3,3,300,0,1.2979461202784308,1.5585673531339925,0.006251889448453353,-1
-0.003,0,0,0,1000,0,3,3,1000,0,1.3420134248293152,1.5505482191152937,0.006089956706487515,-1
-0.003,0,0,0,1000,0,3,3,3000,0,1.3416502501651135,1.5510267394308326,0.005790488169867232,-1
-0.003,0,0,0,1000,0,3,3,10000,0,1.3394073707741547,1.5523673205569468,0.004854326285503802,-1
