focal_err,dark,noise,flicker_rad,flicker_period,Ld,G0,seed,t,ber,on_min,on_mean,off_max,first_error
0.003,0,0,0,1000,0,3,1,10,0,1.4946637873328665,1.6211664145983298,0.006934890021516566,-1
0.003,0,0,0,1000,0,3,1,30,0,1.4471523077504387,1.5927461769602873,0.006752152005861895,-1
0.003,0,0,0,1000,0,3,1,100,0,1.4410532123102726,1.5900454371036155,0.006837471012519378,-1
0.003,0,0,0,1000,0,3,1,300,0,1.4291230586246706,1.5850991126553382,0.006952714299680586,-1
0.003,0,0,0,1000,0,3,1,1000,0,1.4841188816982032,1.5952576746072005,0.007090737867279746,-1
0.003,0,0,0,1000,0,3,1,3000,0,1.4713183204591398,1.599269571096541,0.008001336724966546,-1
0.003,0,0,0,1000,0,3,1,10000,0,1.4654585818527193,1.5977045306363813,0.007814076086496369,-1
0.003,0,0,0,1000,0,3,2,10,0,1.41341736028168,1.5596188920821858,0.004174974524540026,-1
0.003,0,0,0,1000,0,3,2,30,0,1.3423494096956075,1.5157088874751192,0.0038646734095977744,-1
0.003,0,0,0,1000,0,3,2,100,0,1.3315194309678706,1.5105540567942246,0.003663698338202473,-1
0.003,0,0,0,1000,0,3,2,300,0,1.3100505407971446,1.5001489827320895,0.0034172395517560964,-1
0.003,0,0,0,1000,0,3,2,1000,0,1.2822582551795565,1.4864577743261118,0.005297617595223786,-1
0.003,0,0,0,1000,0,3,2,3000,0,1.3259555054676804,1.49290852995528,0.01191388361016037,-1
0.003,0,0,0,1000,0,3,2,10000,0,1.2868129605996308,1.4781389618651808,0.004204446340475301,-1
0.003,0,0,0,1000,0,3,3,10,0,1.446131526355536,1.6379711368870613,0.004427490311311675,-1
0.003,0,0,0,1000,0,3,3,30,0,1.3892170990845312,1.6109161385056292,0.004373923218016825,-1
0.003,0,0,0,1000,0,3,3,100,0,1.3978748630131834,1.6172314648850425,0.004651001432810834,-1
0.003,0,0,0,1000,0,3,3,300,0,1.4220062342943964,1.6321039078910669,0.006314328697524911,-1
0.003,0,0,0,1000,0,3,3,1000,0,1.4283203596659475,1.6347968957975298,0.00841381459439047,-1
0.003,0,0,0,1000,0,3,3,3000,0,1.427972966786754,1.6346120501572885,0.008481871045237005,-1
0.003,0,0,0,1000,0,3,3,10000,0,1.4279729598984858,1.634612047714015,0.008481871001590799,-1
